family,species,stateProvince,decimalLatitude,decimalLongitude
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.094436,-41.137008
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.266342,-40.257045
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.034554,-40.159131
Combretaceae,Laguncularia racemosa,Espírito Santo,-19.977008,-40.140471
Combretaceae,Laguncularia racemosa,Ceará,-3.753821,-38.483037
Combretaceae,Laguncularia racemosa,Santa Catarina,-27.583105,-48.443058
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.272072,-40.254409
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.97138,-43.216113
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.268647,-40.307427
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.811567,-43.15446
Combretaceae,Laguncularia racemosa,NA,-5.10134,-36.24939
Combretaceae,Laguncularia racemosa,NA,-26.305573,-48.794231
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.979904,-43.203556
Combretaceae,Laguncularia racemosa,Espírito Santo,-19.92865,-40.257219
Combretaceae,Laguncularia racemosa,Espírito Santo,-19.939321,-40.261557
Combretaceae,Laguncularia racemosa,Santa Catarina,-28.399908,-48.884304
Combretaceae,Laguncularia racemosa,São Paulo,-23.934975,-46.39811
Combretaceae,Laguncularia racemosa,Santa Catarina,-27.823917,-48.602058
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.68788,-42.955845
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.690775,-42.952886
Combretaceae,Laguncularia racemosa,Santa Catarina,-27.455125,-48.54295
Combretaceae,Laguncularia racemosa,Ceará,-3.412475,-39.055302
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.693119,-43.112418
Combretaceae,Laguncularia racemosa,Ceará,-3.770267,-38.448317
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.265153,-40.25913
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.72965,-40.520687
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.83957,-40.723072
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.74068,-40.535865
Combretaceae,Laguncularia racemosa,Ceará,-3.546763,-38.827435
Combretaceae,Laguncularia racemosa,Pernambuco,-8.53999,-35.006405
Combretaceae,Laguncularia racemosa,Pará,-0.836278,-46.60255
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.973803,-43.205231
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-23.18914,-44.19092
Combretaceae,Laguncularia racemosa,Amapá,2.581522,-50.883369
Combretaceae,Laguncularia racemosa,Amapá,2.599146,-50.84623
Combretaceae,Laguncularia racemosa,Santa Catarina,-28.52097,-48.835939
Combretaceae,Laguncularia racemosa,Ceará,-4.42349,-37.776592
Combretaceae,Laguncularia racemosa,Bahia,-14.88261,-39.022782
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-23.218045,-44.711005
Combretaceae,Laguncularia racemosa,Santa Catarina,-27.578045,-48.429277
Combretaceae,Laguncularia racemosa,Sergipe,-11.432227,-37.394959
Combretaceae,Laguncularia racemosa,Ceará,-3.83167,-38.420863
Combretaceae,Laguncularia racemosa,Santa Catarina,-28.518221,-48.837228
Combretaceae,Laguncularia racemosa,Santa Catarina,-28.255531,-48.678087
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.094505,-41.136788
